fundee, amount, projects
Digital Catapult,"£75,821,415",3
University of Edinburgh,"£22,672,889",2
University of Glasgow,"£11,608,211",1
Energy Systems Catapult Limited,"£8,203,000",1
Nsar Limited,"£6,287,520",1
Ytko Limited,"£2,033,189",1
Newcastle University,"£1,433,287",1
Melon&co Ltd,"£1,418,633",1
Sweetbridge Emea Ltd,"£1,005,262",1
LNRS Data Services Ltd,"£853,847",1
American Express Services Europe Limited,"£730,372",1
Nquiringminds Limited,"£710,852",1
Wax Digital Limited,"£589,045",1
Building Research Establishment Limited,"£532,765",1
Etiq Ai Limited,"£450,478",2
Citizenme Limited,"£430,581",1
Icebreaker One Limited,"£407,605",2
Cristal Health Ltd,"£349,875",1
Mind Foundry Limited,"£349,784",1
Orbital Witness Limited,"£312,748",1
Rinicom Limited,"£306,147",2
Filament PD Ltd,"£298,338",1
Pauley Group Limited,"£297,146",1
Siemens PLC,"£259,706",1
Risk Technology Limited,"£250,000",1
Vivo Smart Medical Devices Ltd,"£239,711",1
Meantime Information Technologies Ltd,"£233,021",1
GlimpSE Protocol Limited,"£224,429",1
Crossword Cybersecurity Plc,"£213,076",1
Ranplan Wireless Network Design Ltd,"£199,918",1
Thingful Limited,"£168,079",1
Attentiv Ltd,"£145,591",1
Distribind Limited,"£129,902",1
RTC North Limited,"£103,000",1
Zaiku Group Ltd,"£100,955",2
Ricardo-Aea Limited,"£100,000",1
HydroSurv Unmanned Survey (UK) Ltd,"£99,836",1
Vinehealth Digital Limited,"£99,808",1
Podium Network Ltd,"£99,599",1
Mobile Content Management Solutions Limited,"£93,615",1
Koios Master Data Limited,"£88,332",1
University of the West of Scotland,"£82,842",1
Cambridge Environmental Research Consultants Limited,"£81,530",1
Montague Sykes Limited,"£80,006",1
Verifoxx Ltd.,"£79,327",1
Makerclub Ltd,"£78,675",1
Bigbarn C.I.C.,"£75,839",1
Famiio Limited,"£74,208",1
Steama Company Limited,"£68,509",1
University of Aberdeen,"£66,704",1
Drainage Management Services Limited,"£65,500",1
Myway Digital Health Limited,"£59,958",1
Guru Systems Limited,"£58,627",1
Repositive Limited,"£52,292",1
Wattbox Limited,"£50,000",1
London Underground Limited,"£50,000",1
Birmingham City Council,"£50,000",1
Swirrl IT Limited,"£49,980",1
Hsbc Bank Plc,"£48,979",1
Cc2i Limited,"£47,586",1
Hr Wallingford Limited,"£46,095",1
Kultralab Ltd,"£20,882",1
Pushpull Technology Ltd,"£13,999",1
