title,funders
Data sharing in large research consortia: experiences and recommendations from ENGAGE.,Wellcome Trust
diXa: a data infrastructure for chemical safety assessment,Wellcome Trust
Publishing descriptions of non-public clinical datasets: proposed guidance for researchers  repositories  editors and funding organisations,Wellcome Trust
Barriers to Working With National Health Service England's Open Data.,Wellcome Trust
Trust in genomic data sharing among members of the general public in the UK  USA  Canada and Australia.,Wellcome Trust
Ethical issues in computational pathology,Innovate UK
Response to physical rehabilitation and recovery trajectories following critical illness: individual participant data meta-analysis protocol.,NINR NIH HHS| Chief Scientist Office| NHLBI NIH HHS| Chief Scientist Office [UK]
Online period estimation and determination of rhythmicity in circadian data  using the BioDare data infrastructure,Biotechnology and Biological Sciences Research Council
Omics Data Sharing,Biotechnology and Biological Sciences Research Council| Wellcome Trust
Data sharing in low-resourced research environments,Leverhulme Trust
CHI - Metadating: Exploring the Romance and Future of Personal Data,EPSRC| AHRC
Between Scylla and Charybdis: reconciling competing data management demands in the life sciences.,Wellcome Trust
The role of personal data value  culture and self-construal in online privacy behaviour.,Arts and Humanities Research Council
Sharing Public Health Research Data: Toward the Development of Ethical Data-Sharing Practice in Low- and Middle-Income Settings,Wellcome Trust
Global open data in agriculture and nutrition (Godan) initiative partner network analysis,"Food and Agriculture Organization of the United Nations| U.S. Department of Agriculture| Ministry of Economic Affairs, Dutch Government| Department for International Development, UK Government"
Life-swap: how discussions around personal data can motivate desire for change,Engineering and Physical Sciences Research Council
CSCW - “This has to be the cats”: Personal Data Legibility in Networked Sensing Systems,Engineering and Physical Sciences Research Council
From Rosalind Franklin to Barack Obama: Data Sharing Challenges and Solutions in Genomics and Personalised Medicine.,Medical Research Council
Predicting the impact of urban flooding using open data,Engineering and Physical Sciences Research Council
Prepublication data sharing.,Biotechnology and Biological Sciences Research Council| Wellcome Trust| NHGRI NIH HHS
Fostering global data sharing: highlighting the recommendations of the Research Data Alliance COVID-19 working group.,Agence Universitaire de la Francophonie| Université de Bordeaux| Fundação de Amparo à Pesquisa do Estado de São Paulo| National Institute on Drug Abuse| Horizon 2020| Canadian Cancer Genome Collaboratory| Inter-university Consortium for Political and Social Research| Wellcome Trust| European Commission| National Science Foundation| University of Michigan
Data Standards for Omics Data: The Basis of Data Sharing and Reuse,Biotechnology and Biological Sciences Research Council| NLM NIH HHS
Making Open Data Work for Civic Advocacy,Engineering and Physical Sciences Research Council
Extending the Minimum Information About BIobank Data Sharing Terminology to Describe Samples  Sample Donors  and Events.,Medical Research Council
Share and protect our health data: an evidence based approach to rare disease patients’ perspectives on data sharing and data protection - quantitative survey and recommendations,Wellcome Trust
The Tension Between Data Sharing and the Protection of Privacy in Genomics Research,Wellcome Trust
Motivations for data sharing—views of research participants from four European countries: A DIRECT study,Medical Research Council
Data Sharing in Southeast Asia During the First Wave of the COVID-19 Pandemic.,Engineering and Physical Sciences Research Council
Better governance  better access: practising responsible data sharing in the METADAC governance infrastructure,Wellcome Trust| Medical Research Council
Global open data management in metabolomics,Biotechnology and Biological Sciences Research Council
Equitable data sharing: challenges and suggestions for ways forward,"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)’s Global Network for Women and Children’s Health Research, USA| Medical Research Council| National Research Center on Child and Maternal Health Dr. Hugo Mendoza (CENISMI).| Bill and Melinda Gates Foundation| Exxon Mobil Corporation| National Institutes of Health| Wellcome Trust"
Data Authorship as an Incentive to Data Sharing.,Medical Research Council
Scientific and technical data sharing: a trading perspective,Biotechnology and Biological Sciences Research Council
Challenges arising when seeking broad consent for health research data sharing: a qualitative study of perspectives in Thailand,Wellcome Trust
Towards a data sharing Code of Conduct for international genomic research.,Wellcome Trust
Trust  Respect  and Reciprocity Informing Culturally Appropriate Data-Sharing Practice in Vietnam,Wellcome Trust
Data sharing and dual-use issues.,Wellcome Trust
Making open data work for plant scientists,Biotechnology and Biological Sciences Research Council
TVX - Explicating the Challenges of Providing Novel Media Experiences Driven by User Personal Data,Engineering and Physical Sciences Research Council
Open data products-A framework for creating valuable analysis ready data,Economic and Social Research Council
Open data and digital morphology,Biotechnology and Biological Sciences Research Council| Vetenskapsrådet| Royal Commission for the Exhibition of 1851| H2020 European Research Council| National Science Foundation| Leverhulme Trust| Human Origins Research Fund| Royal Society| The Calleva Foundation
Psychology of personal data donation.,Research Councils UK| University of Bristol
Data sharing and intellectual property in a genomic epidemiology network: policies for large-scale research collaboration,Wellcome Trust| Medical Research Council
Safety of 8-aminoquinolines given to people with G6PD deficiency: protocol for systematic review of prospective studies,Department of Health
Global Public Perceptions of Genomic Data Sharing: What Shapes the Willingness to Donate DNA and Health Data?,Wellcome Trust
WebSci (Companion) - AI4Good - The Ethical and Societal Implications of using AI in Scientific Discovery: Chairs’ Welcome and Workshop Summary,Engineering and Physical Sciences Research Council
CHI - Brooke Leave Home: Designing a Personalized Film to Support Public Engagement with Open Data,Engineering and Physical Sciences Research Council
nmrML: A Community Supported Open Data Standard for the Description  Storage  and Exchange of NMR Data,Biotechnology and Biological Sciences Research Council| Medical Research Council
Four key challenges in the open-data revolution,Natural Environment Research Council
WWW (Companion Volume) - Social Personal Data Stores: the Nuclei of Decentralised Social Machines,EPSRC
EarComp@UbiComp - A Data Sharing Platform for Earables Research,Engineering and Physical Sciences Research Council
IMX - Human Data Interaction in Data-Driven Media Experiences : An Exploration of Data Sensitive Responses to the Socio-Technical Challenges of Personal Data Leverage,EPSRC
Research Stakeholders' Views on Benefits and Challenges for Public Health Research Data Sharing in Kenya: The Importance of Trust and Social Relations.,Wellcome Trust
Biobanks  Data Sharing  and the Drive for a Global Privacy Governance Framework:,Wellcome Trust| NHGRI NIH HHS
Oversight of Genomic Data Sharing: What Roles for Ethics and Data Access Committees?,Medical Research Council
On the evolving portfolio of community-standards and data sharing policies: turning challenges into new opportunities.,Biotechnology and Biological Sciences Research Council
Public attitudes in England towards the sharing of personal data following a mass casualty incident: a cross-sectional study,Department of Health
Opt-in method is vital for data sharing.,Medical Research Council
Optimizing primary care research participation: a comparison of three recruitment methods in data-sharing studies,Department of Health
Data sharing in neuroimaging research,Wellcome Trust| NIMH NIH HHS| NICHD NIH HHS
Conference on Designing Interactive Systems (Companion Volume) - People  Personal Data and the Built Environment,The University of Nottingham| Engineering and Physical Sciences Research Council
Including all voices in international data-sharing governance.,Wellcome Trust| NHGRI NIH HHS| Medical Research Council
Building a data sharing model for global genomic research,Wellcome Trust| NCI NIH HHS| NCRR NIH HHS
"Opening a ""Can of Worms"" to Explore the Public's Hopes and Fears About Health Care Data Sharing: Qualitative Study.",British Heart Foundation
The promotion of data sharing in pharmacoepidemiology,Wellcome Trust| Medical Research Council
Accelerating the Evolution of Nonhuman Primate Neuroimaging,"NIH HHS| Medical Research Council| National Centre for the Replacement, Refinement and Reduction of Animals in Research| NINDS NIH HHS| NIMH NIH HHS| Wellcome Trust"
Improving data sharing between acute hospitals in England: an overview of health record system distribution and retrospective observational analysis of inter-hospital transitions of care.,Department of Health
Data management and sharing policy: the first step towards promoting data sharing,Wellcome Trust
CAN@CoNEXT - Personal Data Management with the Databox: What's Inside the Box?,Seventh Framework Programme| Engineering and Physical Sciences Research Council
FACT: a randomised controlled trial to assess the feasibility of QbTest in the assessment process of attention deficit hyperactivity disorder (ADHD) for young people in prison -a feasibility trial protocol,Department of Health
Adaptive Architecture and Personal Data,The University of Nottingham| Engineering and Physical Sciences Research Council
Advancing good governance in data sharing and biobanking - international aspects.,Wellcome Trust
A systematic review of barriers to data sharing in public health,Wellcome Trust| NIGMS NIH HHS
Ethical and practical issues to consider in the governance of genomic and human research data and data sharing in South Africa: a meeting report.,Wellcome Trust| NHGRI NIH HHS
ENIGMA MDD: seven years of global neuroimaging studies of major depression through worldwide data sharing,Department of Health | National Health and Medical Research Council (NHMRC)| NCCIH NIH HHS| Medical Research Council| NIMH NIH HHS| NIBIB NIH HHS| NCRR NIH HHS| Wellcome Trust
Equitable data sharing in epidemics and pandemics.,University of Melbourne| Wellcome Trust
The Bermuda Triangle: The Pragmatics  Policies  and Principles for Data Sharing in the History of the Human Genome Project.,Wellcome Trust| National Human Genome Research Institute (US)| NHGRI NIH HHS| NCI NIH HHS
SACMAT - Enabling Data Sharing in Contextual Environments: Policy Representation and Analysis,Seventh Framework Programme| Engineering and Physical Sciences Research Council
Data sharing policy design for consortia: challenges for sustainability.,Wellcome Trust
Sweat  Skepticism  and Uncharted Territory: A Qualitative Study of Opinions on Data Sharing Among Public Health Researchers and Research Participants in Mumbai  India.,Wellcome Trust
The ethics of data sharing and biobanking in health research.,Wellcome Trust| National Institutes of Health| Medical Research Council| Bill and Melinda Gates Foundation
Development Research at High Geographic Resolution: An Analysis of Night-Lights  Firms  and Poverty in India Using the SHRUG Open Data Platform,"Department for International Development, UK Government| IGC"
Spatial urban data system: a cloud-enabled big data infrastructure for social and economic urban analytics,Economic and Social Research Council
A study protocol of qualitative data sharing practices in clinical trials in the UK and Ireland: towards the production of good practice guidance.,Medical Research Council
"IDC - ""It's your private information. it's your life."": young people's views of personal data use by online technologies",Engineering and Physical Sciences Research Council
The Privacy and Security Implications of Open Data in Healthcare.,Medical Research Council
