funder,works count
National Natural Science Foundation of China,601
National Science Foundation,268
Wellcome Trust,224
NHGRI NIH HHS,218
Medical Research Council,190
NCATS NIH HHS,168
NCI NIH HHS,168
NIGMS NIH HHS,145
NIMH NIH HHS,138
NHLBI NIH HHS,107
NINDS NIH HHS,100
European Commission,94
NLM NIH HHS,92
NIBIB NIH HHS,91
NICHD NIH HHS,91
NIA NIH HHS,81
National Key Research and Development Program of China,78
Engineering and Physical Sciences Research Council,64
Fundamental Research Funds for the Central Universities,62
NIAID NIH HHS,61
Horizon 2020,60
Biotechnology and Biological Sciences Research Council,59
Horizon 2020 Framework Programme,59
AHRQ HHS,58
NIH HHS,57
Department of Health,57
NIDDK NIH HHS,55
NIDA NIH HHS,54
World Health Organization,53
NCRR NIH HHS,53
NIEHS NIH HHS,51
Natural Sciences and Engineering Research Council of Canada,51
CIHR,48
Intramural NIH HHS,47
National Research Foundation of Korea,44
Deutsche Forschungsgemeinschaft,43
Seventh Framework Programme,42
National Institutes of Health,41
European Research Council,37
Australian Research Council,36
China Postdoctoral Science Foundation,32
"Ministry of Science and Technology, Taiwan",32
Japan Society for the Promotion of Science,28
European Regional Development Fund,28
Canadian Institutes of Health Research,28
National Basic Research Program of China,26
National Key R&D Program of China,26
NSF,25
Science Foundation Ireland,25
U.S. Department of Energy,24
Bundesministerium für Bildung und Forschung,24
Bill and Melinda Gates Foundation,23
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,23
China Scholarship Council,22
Academy of Finland,22
Economic and Social Research Council,22
Agence Nationale de la Recherche,21
Social Sciences and Humanities Research Council of Canada,20
EPSRC,19
Ministry of Education,19
NIMHD NIH HHS,19
National Health and Medical Research Council,19
H2020 European Research Council,18
FDA HHS,18
European Union,18
Chief Scientist Office,17
Natural Environment Research Council,17
PHS HHS,16
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,16
NSFC,16
Cancer Research UK,16
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,15
NINR NIH HHS,15
NEI NIH HHS,15
Natural Science Foundation of Shaanxi Province,14
NIAAA NIH HHS,14
US National Science Foundation,14
Ministry of Science and Technology of the People's Republic of China,13
National Science Foundation of China,13
Natural Science Foundation of China,13
Natural Science Foundation of Beijing Municipality,13
British Heart Foundation,13
Ministerio de Economía y Competitividad,13
German Federal Ministry of Education and Research,12
Fundação para a Ciência e a Tecnologia,12
Natural Science Basic Research Plan in Shaanxi Province of China,12
Natural Science Foundation of Guangdong Province,12
National Aeronautics and Space Administration,12
Norges Forskningsråd,12
Health Research Board,11
Chinese Academy of Sciences,11
Fundação de Amparo à Pesquisa do Estado de São Paulo,11
Defense Advanced Research Projects Agency,11
Conselho Nacional de Desenvolvimento Científico e Tecnológico,11
Howard Hughes Medical Institute,11
H2020 Marie Skłodowska-Curie Actions,11
Alfred P. Sloan Foundation,11
Intramural CDC HHS,11
Office of Naval Research,11
NIAMS NIH HHS,10
CCR NIH HHS,10
FIC NIH HHS,10
Ministerio de Ciencia e Innovación,10
National Institute for Health Research,10
Ministry of Science and Technology,9
European Social Fund,9
Google,9
Natural Science Foundation of Shandong Province,8
National Research Foundation Singapore,8
U.S. Department of Health &amp; Human Services ,8
Japan Agency for Medical Research and Development,8
National Cryptography Development Fund,8
European Cooperation in Science and Technology,8
NSERC,8
Spanish Ministry of Economy and Competitiveness,8
NIDCR NIH HHS,8
Russian Foundation for Basic Research,8
Japan Science and Technology Agency,8
National Institute of Food and Agriculture,8
Innovate UK,7
Leverhulme Trust,7
Arts and Humanities Research Council,7
Science and Technology Commission of Shanghai Municipality,7
Vetenskapsrådet,7
"Ministerio de Ciencia, Innovación y Universidades",7
U.S. Department of Agriculture,7
Russian Science Foundation,7
Beijing Natural Science Foundation,7
Air Force Research Laboratory,7
National Center for Advancing Translational Sciences,7
Research and Development,7
International Development Research Centre,7
Natural Science Foundation of Jiangsu Province,7
CAPES,7
Swedish Research Council,7
Swiss National Science Foundation,7
Grantová Agentura České Republiky,7
NIDCD NIH HHS,7
U.S. National Science Foundation,7
JSPS KAKENHI,7
Patient-Centered Outcomes Research Institute,6
Natural Science Foundation of Zhejiang Province,6
National Institute of Standards and Technology,6
Division of Information and Intelligent Systems,6
EC ,6
National Nature Science Foundation of China,6
National Human Genome Research Institute,6
Institute of Museum and Library Services,6
Robert Wood Johnson Foundation,6
CNPq,6
Austrian Science Fund FWF,6
ZonMw,6
