funder,works count
National Natural Science Foundation of China,115
Wellcome Trust,40
Medical Research Council,20
National Science Foundation,19
Engineering and Physical Sciences Research Council,15
National Key Research and Development Program of China,13
Biotechnology and Biological Sciences Research Council,12
Fundamental Research Funds for the Central Universities,12
FDA HHS,10
China Postdoctoral Science Foundation,9
China Scholarship Council,8
Natural Sciences and Engineering Research Council of Canada,8
NCI NIH HHS,7
NIMH NIH HHS,7
NHGRI NIH HHS,7
National Institutes of Health,6
Department of Health,6
PHS HHS,5
NINDS NIH HHS,5
Seventh Framework Programme,5
National Basic Research Program of China,5
NIH HHS,5
CCR NIH HHS,4
Natural Science Foundation of Shandong Province,4
EPSRC,4
Australian Research Council,4
U.S. Department of Energy,4
Natural Science Foundation of Shaanxi Province,4
Natural Science Foundation of China,4
Ministry of Science and Technology of the People's Republic of China,3
H2020 European Research Council,3
National Natural Science Foundation of China (CN),3
NIBIB NIH HHS,3
"Indian Institute of Technology, Bombay",3
Natural Science Foundation of Zhejiang Province,3
Simons Foundation,3
Austrian Research Promotion Agency,3
NLM NIH HHS,3
National Key Research and Development Plan,3
"Ministerio de Ciencia, Innovación y Universidades",3
Foundation of Science and Technology on Information Assurance Laboratory,3
National Research Foundation Singapore,3
Key Research Project of Zhejiang Province,3
Natural Science Foundation of Fujian Province,3
AHRQ HHS,3
National Institute of Standards and Technology,3
Division of Information and Intelligent Systems,3
Social Sciences and Humanities Research Council of Canada,3
Fundação de Amparo à Pesquisa do Estado de São Paulo,3
Ministry of Education,3
Ministry of Science and Technology,3
National Nature Science Foundation of China,3
Defense Advanced Research Projects Agency,3
Huawei Technologies,3
National Cryptography Development Fund,3
Natural Science Foundation of Guangdong Province,3
Priority Academic Program Development of Jiangsu Higher Education Institutions,3
Air Force Research Laboratory,3
Natural Science Foundation of Beijing Municipality,3
European Regional Development Fund,3
Austrian Science Fund FWF,3
US National Science Foundation,3
"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",3
International Development Research Centre,3
Horizon 2020 Framework Programme,3
Natural Science Foundation of Hunan Province,2
European Commission (EC),2
Patient-Centered Outcomes Research Institute,2
NIDA NIH HHS,2
NIAID NIH HHS,2
NIAMS NIH HHS,2
NHLBI NIH HHS,2
Intramural NIST DOC,2
NCATS NIH HHS,2
Natural Science Basic Research Plan in Shaanxi Province,2
Seventh Framework Programme (BE),2
Leverhulme Trust,2
NIGMS NIH HHS,2
