funder,works count
Wellcome Trust,40
Medical Research Council,20
Engineering and Physical Sciences Research Council,15
Biotechnology and Biological Sciences Research Council,12
Department of Health,6
NHGRI NIH HHS,5
EPSRC,4
NIMH NIH HHS,3
Leverhulme Trust,2
"Department for International Development, UK Government",2
National Science Foundation,2
Bill and Melinda Gates Foundation,2
National Institutes of Health,2
Economic and Social Research Council,2
The University of Nottingham,2
NCI NIH HHS,2
NCRR NIH HHS,2
Seventh Framework Programme,2
Innovate UK,1
NHLBI NIH HHS,1
Chief Scientist Office,1
NINR NIH HHS,1
Chief Scientist Office [UK],1
AHRC,1
Arts and Humanities Research Council,1
"Ministry of Economic Affairs, Dutch Government",1
Food and Agriculture Organization of the United Nations,1
U.S. Department of Agriculture,1
Canadian Cancer Genome Collaboratory,1
University of Michigan,1
Fundação de Amparo à Pesquisa do Estado de São Paulo,1
Université de Bordeaux,1
Horizon 2020,1
European Commission,1
National Institute on Drug Abuse,1
Agence Universitaire de la Francophonie,1
Inter-university Consortium for Political and Social Research,1
NLM NIH HHS,1
Exxon Mobil Corporation,1
"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)’s Global Network for Women and Children’s Health Research, USA",1
National Research Center on Child and Maternal Health Dr. Hugo Mendoza (CENISMI).,1
Royal Society,1
Vetenskapsrådet,1
The Calleva Foundation,1
H2020 European Research Council,1
Royal Commission for the Exhibition of 1851,1
Human Origins Research Fund,1
University of Bristol,1
Research Councils UK,1
Natural Environment Research Council,1
NICHD NIH HHS,1
British Heart Foundation,1
NIH HHS,1
"National Centre for the Replacement, Refinement and Reduction of Animals in Research",1
NINDS NIH HHS,1
NIGMS NIH HHS,1
NIBIB NIH HHS,1
Department of Health ,1
National Health and Medical Research Council (NHMRC),1
NCCIH NIH HHS,1
University of Melbourne,1
National Human Genome Research Institute (US),1
IGC,1
Alzheimer Scotland,1
Medical Research Council (MRC) UK,1
Medical Research Council Supplementary Travel Grant,1
