title,year published,funders
Data sharing in large research consortia: experiences and recommendations from ENGAGE.,2013,Wellcome Trust
Integration of Satellite Images and Open Data for Impervious Surface Classification,2019,National Natural Science Foundation of China| Central South University| Natural Science Foundation of Hunan Province| Early-Stage Research Start-up| Hong Kong RGC
An open data infrastructure for the study of anthropogenic hazards linked to georesource exploitation,2020,Ministerstwo Nauki i Szkolnictwa Wyższego (Ministry of Science and Higher Education)| European Commission (EC)
diXa: a data infrastructure for chemical safety assessment,2014,Wellcome Trust
SynergyChain: A Multichain-based Data Sharing Framework with Hierarchical Access Control,2021,National Natural Science Foundation of China| Hubei Technology Innovation Platform| KeyArea Research and Development Program of Guangdong Province
Stakeholders' views on data sharing in multicenter studies.,2017,Patient-Centered Outcomes Research Institute
The National Drug Abuse Treatment Clinical Trials Network Data Share project: Website design  usage  challenges  and future directions,2013,NIDA NIH HHS| PHS HHS
Publishing descriptions of non-public clinical datasets: proposed guidance for researchers  repositories  editors and funding organisations,2016,Wellcome Trust
CIKM - Faceted Exploring for Domain Knowledge over Linked Open Data,2014,Ministry of Education Innovation Research Team| National Natural Science Foundation of China| National Key Technologies R&D Program of China| Ministry of Science and Technology of the People's Republic of China| Ministry of Education of the People's Republic of China
Spatial data infrastructure,2013,"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja"
Conference on Designing Interactive Systems - Visualizing Personal Rhythms: A Critical Visual Analysis of Mental Health in Flux,2020,University of Washington Royalty Research Fund
A distributed authentication and authorization scheme for in-network big data sharing,2017,EU-Japan| JSPS Grant-in-Aid for Young Scientists (B)
Selective end-to-end data-sharing in the cloud,2020,H2020 Security
What is the future of data sharing for research,2020,Marie Sk?odowska-Curie
Barriers to Working With National Health Service England's Open Data.,2020,Wellcome Trust
Opening clinical trial data: are the voluntary data-sharing portals enough?,2015,NIAID NIH HHS| PHS HHS
GAN-Driven Personalized Spatial-Temporal Private Data Sharing in Cyber-Physical Social Systems,2020,National Natural Science Foundation of China| China Scholarship Council| Australia ARC
Trust in genomic data sharing among members of the general public in the UK  USA  Canada and Australia.,2019,Wellcome Trust
An Integration of blockchain and AI for secure data sharing and detection of CT images for the hospitals.,2020,China Postdoctoral Science Foundation| Department of Science and Technology of Sichuan Province| Natural Science Foundation of Sichuan Province| Postdoctoral Research Foundation of China
Joint analysis of binary and quantitative traits with data sharing and outcome-dependent sampling.,2012,NIAMS NIH HHS
Heterogeneous self-tracked health and fitness data integration and sharing according to a linked open data approach,2021,H2020 European Research Council| Alma Mater Studiorum - Università di Bologna
TR-Model. A Metadata Profile Application for Personal Data Transparency,2020,Fundação de Amparo à Pesquisa do Estado de S. Paulo
Nanoinformatics workshop report: current resources  community needs and the proposal of a collaborative framework for data sharing and information integration,2013,NCI NIH HHS| NINDS NIH HHS| NIEHS NIH HHS| CCR NIH HHS
Ethical issues in computational pathology,2021,Innovate UK
Aggregating multiple real-world data sources using a patient-centered health-data-sharing platform,2020,FDA HHS
Response to physical rehabilitation and recovery trajectories following critical illness: individual participant data meta-analysis protocol.,2020,NINR NIH HHS| NHLBI NIH HHS| Chief Scientist Office [UK]| Chief Scientist Office
Challenges of data sharing: valuable but costly?,2016,Australian National Health and Medical Research Council Practitioner Fellowship
Building Open Access to Research (OAR) Data Infrastructure at NIST.,2019,Intramural NIST DOC
FAIR SCI Ahead: The Evolution of the Open Data Commons for Pre-Clinical Spinal Cord Injury Research.,2019,NCATS NIH HHS| NINDS NIH HHS| NIMH NIH HHS| RRD VA
Efficient Verifiable Key-Aggregate Keyword Searchable Encryption for Data Sharing in Outsourcing Storage,2020,National Natural Science Foundation of China| Natural Science Foundation of Shandong Province
Data sharing from pharmaceutical industry sponsored clinical studies: audit of data availability,2018,"Ashley Hopkins is a researcher funded by a Postdoctoral Fellowship from the National Breast Cancer Foundation, Australia| Cancer Council SA’s Beat Cancer Project on behalf of its donors and the State Government of South Australia through the Department of Health"
Qualitative Data Sharing: Participant Understanding  Motivation  and Consent.,2021,Eunice Kennedy Shriver National Institute of Child Health and Human Development| National Science Foundation
Real-life effectiveness and safety of salbutamol Steri-Neb™ vs. Ventolin Nebules® for exacerbations in patients with COPD: Historical cohort study.,2018,"Teva Branded Pharmaceutical Products R&D, Inc. (Frazer, PA)"
The role of clothing in participation of persons with a physical disability: a scoping review protocol.,2018,Réseau provincial en recherche en adaptation-réadaptation| Office des personnes handicapées du Québec| Fonds de Recherche du Québec - Santé
Efficient and privacy-aware attribute-based data sharing in mobile cloud computing,2017,National Natural Science Foundation of China| Natural Science Basic Research Plan in Shaanxi Province| National Natural Science Foundation of China (CN)| New Star Team of Xi’an University of Posts and Telecommunications| Scientific Research Program Funded by Shaanxi Provincial Education Department
A Rubric-Driven Evaluation of Open Data Portals and Their Data in Transportation,2020,Iowa Department of Transportation
Online period estimation and determination of rhythmicity in circadian data  using the BioDare data infrastructure,2014,Biotechnology and Biological Sciences Research Council
Understanding urban China with open data,2015,National Natural Science Foundation of China| Humanities and Social Sciences
A Blockchain-Based Secret-Data Sharing Framework for Personal Health Records in Emergency Condition.,2021,Jiangsu province key research and development program: Social development project| Project of ZTE Cooperation Research| China Scholarship Council| Jiangsu province key research and development program: Industry outlook and common key technology projects
Comparison of privacy-protecting analytic and data-sharing methods: A simulation study.,2018,NIBIB NIH HHS| Patient-Centered Outcomes Research Institute
Opening Pandora’s Box: Peeking inside Psychology’s data sharing practices  and seven recommendations for change,2020,University of Lancaster
Anonymous Data Sharing Scheme in Public Cloud and Its Application in E-Health Record,2018,"Qing Lan Project of Jiangsu Province| 1311 Talent Plan Foundation of NUPT, NUPTSF| Open Foundation of the State Key Laboratory of Information Security of China"
Progress and Challenges in Ocean Metaproteomics and Proposed Best Practices for Data Sharing,2019,Intramural NIST DOC
Improving data sharing in research with context-free encoded missing data.,2017,Suomen Akatemia| Seventh Framework Programme (BE)
Deposit Decision Model for Data Brokers in Distributed Personal Data Markets Using Blockchain,2021,Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant through Korean Government [Ministry of Science and ICT (MSIT)]| Electronics and Telecommunications Research Institute (ETRI) Grant through Korean Government
Examining Open Data at the Urban Level: An Exploration of “Wellbeing Toronto”,2019,SSHRC
The case for information fiduciaries: The implementation of a data ethics checklist at Seattle Children's Hospital.,2021,Andrew Carnegie Fellowship| Seattle Children’s Enterprise Analytics
Enabling Spatio-Temporal Search in Open Data,2019,"Austrian Research Promotion Agency (FFG)| The Europe Center of Stanford University, United States| Austrian Federal Ministry of Transport, Innovation and Technology (BMVIT)"
Biodiversidata: A Collaborative Initiative Towards Open Data Availability in Uruguay,2019,Agencia Nacional de Investigación e Innovación
Open Data Based Urban For-Profit Music Venues Spatial Layout Pattern Discovery,2021,HIT University Educational Research Project| National Key Research and Development Program of China
Data sharing in low-resourced research environments,2016,Leverhulme Trust
CHI - Metadating: Exploring the Romance and Future of Personal Data,2016,EPSRC| AHRC
Between Scylla and Charybdis: reconciling competing data management demands in the life sciences.,2016,Wellcome Trust
