title,year published,funders
Data sharing in large research consortia: experiences and recommendations from ENGAGE.,2013,Wellcome Trust
diXa: a data infrastructure for chemical safety assessment,2014,Wellcome Trust
Publishing descriptions of non-public clinical datasets: proposed guidance for researchers  repositories  editors and funding organisations,2016,Wellcome Trust
Barriers to Working With National Health Service England's Open Data.,2020,Wellcome Trust
Trust in genomic data sharing among members of the general public in the UK  USA  Canada and Australia.,2019,Wellcome Trust
Ethical issues in computational pathology,2021,Innovate UK
Response to physical rehabilitation and recovery trajectories following critical illness: individual participant data meta-analysis protocol.,2020,NHLBI NIH HHS| Chief Scientist Office [UK]| Chief Scientist Office| NINR NIH HHS
Online period estimation and determination of rhythmicity in circadian data  using the BioDare data infrastructure,2014,Biotechnology and Biological Sciences Research Council
Data sharing in low-resourced research environments,2016,Leverhulme Trust
CHI - Metadating: Exploring the Romance and Future of Personal Data,2016,AHRC| EPSRC
Between Scylla and Charybdis: reconciling competing data management demands in the life sciences.,2016,Wellcome Trust
The role of personal data value  culture and self-construal in online privacy behaviour.,2021,Arts and Humanities Research Council
Sharing Public Health Research Data: Toward the Development of Ethical Data-Sharing Practice in Low- and Middle-Income Settings,2015,Wellcome Trust
Global open data in agriculture and nutrition (Godan) initiative partner network analysis,2018,"Department for International Development, UK Government| Food and Agriculture Organization of the United Nations| Ministry of Economic Affairs, Dutch Government| U.S. Department of Agriculture"
Life-swap: how discussions around personal data can motivate desire for change,2020,Engineering and Physical Sciences Research Council
CSCW - “This has to be the cats”: Personal Data Legibility in Networked Sensing Systems,2016,Engineering and Physical Sciences Research Council
From Rosalind Franklin to Barack Obama: Data Sharing Challenges and Solutions in Genomics and Personalised Medicine.,2017,Medical Research Council
Predicting the impact of urban flooding using open data,2016,Engineering and Physical Sciences Research Council
Fostering global data sharing: highlighting the recommendations of the Research Data Alliance COVID-19 working group.,2021,National Science Foundation| Horizon 2020| Inter-university Consortium for Political and Social Research| Fundação de Amparo à Pesquisa do Estado de São Paulo| National Institute on Drug Abuse| Agence Universitaire de la Francophonie| European Commission| University of Michigan| Université de Bordeaux| Canadian Cancer Genome Collaboratory| Wellcome Trust
Data Standards for Omics Data: The Basis of Data Sharing and Reuse,2011,NLM NIH HHS| Biotechnology and Biological Sciences Research Council
Making Open Data Work for Civic Advocacy,2018,Engineering and Physical Sciences Research Council
Extending the Minimum Information About BIobank Data Sharing Terminology to Describe Samples  Sample Donors  and Events.,2020,Medical Research Council
Share and protect our health data: an evidence based approach to rare disease patients’ perspectives on data sharing and data protection - quantitative survey and recommendations,2019,Wellcome Trust
Pilot study protocol to inform a future longitudinal study of ageing using linked administrative data: Healthy AGeing in Scotland (HAGIS).,2018,NIA NIH HHS| Chief Scientist Office
The Tension Between Data Sharing and the Protection of Privacy in Genomics Research,2012,Wellcome Trust
Motivations for data sharing—views of research participants from four European countries: A DIRECT study,2019,Medical Research Council
Data Sharing in Southeast Asia During the First Wave of the COVID-19 Pandemic.,2021,Engineering and Physical Sciences Research Council
Better governance  better access: practising responsible data sharing in the METADAC governance infrastructure,2018,Medical Research Council| Wellcome Trust
Global open data management in metabolomics,2017,Biotechnology and Biological Sciences Research Council
Equitable data sharing: challenges and suggestions for ways forward,2019,"National Research Center on Child and Maternal Health Dr. Hugo Mendoza (CENISMI).| Medical Research Council| National Institutes of Health| Bill and Melinda Gates Foundation| Exxon Mobil Corporation| Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)’s Global Network for Women and Children’s Health Research, USA| Wellcome Trust"
Data Authorship as an Incentive to Data Sharing.,2017,Medical Research Council
Scientific and technical data sharing: a trading perspective,2014,Biotechnology and Biological Sciences Research Council
Challenges arising when seeking broad consent for health research data sharing: a qualitative study of perspectives in Thailand,2018,Wellcome Trust
Towards a data sharing Code of Conduct for international genomic research.,2011,Wellcome Trust
Trust  Respect  and Reciprocity Informing Culturally Appropriate Data-Sharing Practice in Vietnam,2015,Wellcome Trust
Data sharing and dual-use issues.,2011,Wellcome Trust
Making open data work for plant scientists,2013,Biotechnology and Biological Sciences Research Council
TVX - Explicating the Challenges of Providing Novel Media Experiences Driven by User Personal Data,2018,Engineering and Physical Sciences Research Council
The ELIXIR Core Data Resources: fundamental infrastructure for the life sciences.,2020,Wellcome Trust
Open data products-A framework for creating valuable analysis ready data,2021,Economic and Social Research Council
Open data and digital morphology,2017,National Science Foundation| Vetenskapsrådet| Leverhulme Trust| Human Origins Research Fund| Biotechnology and Biological Sciences Research Council| The Calleva Foundation| H2020 European Research Council| Royal Society| Royal Commission for the Exhibition of 1851
Psychology of personal data donation.,2019,Research Councils UK| University of Bristol
Safety of 8-aminoquinolines given to people with G6PD deficiency: protocol for systematic review of prospective studies,2014,Department of Health
Global Public Perceptions of Genomic Data Sharing: What Shapes the Willingness to Donate DNA and Health Data?,2020,Wellcome Trust
WebSci (Companion) - AI4Good - The Ethical and Societal Implications of using AI in Scientific Discovery: Chairs’ Welcome and Workshop Summary,2020,Engineering and Physical Sciences Research Council
CHI - Brooke Leave Home: Designing a Personalized Film to Support Public Engagement with Open Data,2020,Engineering and Physical Sciences Research Council
nmrML: A Community Supported Open Data Standard for the Description  Storage  and Exchange of NMR Data,2017,Medical Research Council| Biotechnology and Biological Sciences Research Council
Four key challenges in the open-data revolution,2021,Natural Environment Research Council
WWW (Companion Volume) - Social Personal Data Stores: the Nuclei of Decentralised Social Machines,2015,EPSRC
EarComp@UbiComp - A Data Sharing Platform for Earables Research,2019,Engineering and Physical Sciences Research Council
IMX - Human Data Interaction in Data-Driven Media Experiences : An Exploration of Data Sensitive Responses to the Socio-Technical Challenges of Personal Data Leverage,2021,EPSRC
Research Stakeholders' Views on Benefits and Challenges for Public Health Research Data Sharing in Kenya: The Importance of Trust and Social Relations.,2015,Wellcome Trust
Protein construct optimization: data sharing strategy,2012,Medical Research Council
Biobanks  Data Sharing  and the Drive for a Global Privacy Governance Framework:,2015,NHGRI NIH HHS| Wellcome Trust
Oversight of Genomic Data Sharing: What Roles for Ethics and Data Access Committees?,2017,Medical Research Council
